court	docket_date	case_count	case_numbers
1-1	2025-02-17	2	251100035341, 251100035242
1-1	2025-02-12	1	251100035390
1-1	2025-02-17	2	251100035444, 251100035491
1-1	2025-02-12	1	251100035549
1-1	2025-02-17	1	251100035509
1-1	2025-02-25	1	251100035509
1-1	2025-02-17	2	251100035585, 251100035580
1-1	2025-02-12	3	251100035542, 251100035613, 251100035551
1-1	2025-02-25	1	251100035613
1-1	2025-02-12	1	251100035595
1-1	2025-02-13	1	251100035592
1-1	2025-02-12	1	251100035604
1-1	2025-02-26	1	251100035604
1-1	2025-02-12	1	251100035644
1-1	2025-02-13	2	251100035650, 251100035646
1-1	2025-02-12	1	251100035634
1-1	2025-02-17	1	251100035634
1-1	2025-02-12	1	251100035666
1-1	2025-02-17	1	251100035666
1-1	2025-02-12	2	251100035651, 251100035673
1-1	2025-02-25	1	251100035673
1-1	2025-02-12	1	251100035670
1-1	2025-02-13	2	251100035658, 251100035667
1-1	2025-02-12	4	251100035684, 251100035808, 251100035687, 251100035680
1-1	2025-02-19	1	251100035684
1-1	2025-02-12	1	251100035813
1-1	2025-02-27	1	251100035813
1-1	2025-02-13	3	251100035889, 251100035859, 251100035879
1-1	2025-02-12	1	251100035903
1-1	2025-02-26	1	251100035903
1-1	2025-02-13	3	251100035847, 251100035866, 251100035904
1-1	2025-02-20	1	251100035866
1-1	2025-02-27	1	251100035866
1-1	2025-02-13	2	251100035919, 251100035922
1-1	2025-02-12	1	251100035928
1-1	2025-02-27	1	251100035928
1-1	2025-02-13	3	251100035974, 251100035933, 251100035935
1-1	2025-03-04	1	251100035935
1-1	2025-02-13	3	251100035925, 251100035981, 251100035991
1-1	2025-02-12	1	251100036385
1-1	2025-02-18	1	251100036385
1-1	2025-02-13	2	251100036436, 251100036380
1-1	2025-02-17	2	251100036431, 251100036396
1-1	2025-02-20	1	251100036396
1-1	2025-02-27	1	251100036396
1-1	2025-02-13	1	251100036429
1-1	2025-02-20	1	251100036429
1-1	2025-02-17	2	251100036402, 251100036488
1-1	2025-02-13	2	251100036399, 251100036438
1-1	2025-02-17	6	251100036618, 251100037063, 251100037109, 251100037112, 251100037166, 251100036591
1-1	2025-02-20	1	251100037109
1-1	2025-02-17	1	251100036878
1-1	2025-02-26	1	251100036878
1-1	2025-02-17	6	251100037163, 251100037189, 251100037177, 251100037181, 251100037170, 251100037196
1-1	2025-02-20	1	251100037181
